PID,USER,PR,NI,VIRT,RES,SHR,S,%CPU,%MEM,TIME+,COMMAND
7967,aleja,20,0,422780,19248,10136,S,"5,0","0,3",1:10.98,twist_mux
5777,aleja,20,0,348884,19324,10216,S,"0,0","0,3",0:02.17,rosout
8182,aleja,20,0,357588,44880,16692,S,"0,0","0,6",0:02.26,roslaunch
8280,aleja,20,0,511136,46132,17448,S,"0,0","0,6",0:04.17,rostopic
5757,aleja,20,0,357720,44900,16824,S,"0,0","0,6",0:03.32,roscore
581,root,20,0,2548,708,636,S,"0,0","0,0",0:00.32,acpid
7927,aleja,20,0,357992,45016,16424,S,"0,0","0,6",0:02.53,roslaunch
7956,aleja,20,0,498908,22148,12672,S,"13,0","0,3",1:50.99,ekf_localizatio
8209,aleja,20,0,871268,42520,16760,S,"11,0","0,6",2:19.05,nodo_pid.py
7963,aleja,20,0,369172,24976,14984,S,"8,0","0,3",1:30.01,robot_state_pub
5766,aleja,20,0,1280912,44432,16516,S,"6,0","0,6",1:49.76,rosmaster
7967,aleja,20,0,422780,19248,10136,S,"5,0","0,3",1:11.03,twist_mux
5757,aleja,20,0,357720,44900,16824,S,"1,0","0,6",0:03.33,roscore
7927,aleja,20,0,357992,45016,16424,S,"1,0","0,6",0:02.54,roslaunch
5777,aleja,20,0,348884,19324,10216,S,"0,0","0,3",0:02.17,rosout
8182,aleja,20,0,357588,44880,16692,S,"0,0","0,6",0:02.26,roslaunch
8280,aleja,20,0,511136,46132,17448,S,"0,0","0,6",0:04.17,rostopic
581,root,20,0,2548,708,636,S,"0,0","0,0",0:00.32,acpid
8209,aleja,20,0,871268,42520,16760,S,"11,0","0,6",2:19.16,nodo_pid.py
7963,aleja,20,0,369172,24976,14984,S,"10,0","0,3",1:30.11,robot_state_pub
7956,aleja,20,0,498908,22148,12672,S,"10,0","0,3",1:51.09,ekf_localizatio
5766,aleja,20,0,1280912,44432,16516,S,"9,0","0,6",1:49.85,rosmaster
7967,aleja,20,0,422780,19248,10136,S,"6,0","0,3",1:11.09,twist_mux
8280,aleja,20,0,511136,46132,17448,S,"1,0","0,6",0:04.18,rostopic
7927,aleja,20,0,357992,45016,16424,S,"1,0","0,6",0:02.55,roslaunch
5777,aleja,20,0,348884,19324,10216,S,"0,0","0,3",0:02.17,rosout
8182,aleja,20,0,357588,44880,16692,S,"0,0","0,6",0:02.26,roslaunch
5757,aleja,20,0,357720,44900,16824,S,"0,0","0,6",0:03.33,roscore
581,root,20,0,2548,708,636,S,"0,0","0,0",0:00.32,acpid
8209,aleja,20,0,871268,42520,16760,S,"11,0","0,6",2:19.27,nodo_pid.py
7956,aleja,20,0,498908,22148,12672,S,"11,0","0,3",1:51.20,ekf_localizatio
7963,aleja,20,0,369172,24976,14984,S,"8,0","0,3",1:30.19,robot_state_pub
5766,aleja,20,0,1280912,44432,16516,S,"6,0","0,6",1:49.91,rosmaster
7967,aleja,20,0,422780,19248,10136,S,"5,0","0,3",1:11.14,twist_mux
5777,aleja,20,0,348884,19324,10216,S,"0,0","0,3",0:02.17,rosout
8182,aleja,20,0,357588,44880,16692,S,"0,0","0,6",0:02.26,roslaunch
8280,aleja,20,0,511136,46132,17448,S,"0,0","0,6",0:04.18,rostopic
5757,aleja,20,0,357720,44900,16824,S,"0,0","0,6",0:03.33,roscore
581,root,20,0,2548,708,636,S,"0,0","0,0",0:00.32,acpid
7927,aleja,20,0,357992,45016,16424,S,"0,0","0,6",0:02.55,roslaunch
8209,aleja,20,0,871268,42520,16760,S,"11,0","0,6",2:19.38,nodo_pid.py
7956,aleja,20,0,498908,22148,12672,S,"8,0","0,3",1:51.28,ekf_localizatio
5766,aleja,20,0,1280912,44432,16516,S,"7,0","0,6",1:49.98,rosmaster
7963,aleja,20,0,369172,24976,14984,S,"6,0","0,3",1:30.25,robot_state_pub
7967,aleja,20,0,422780,19248,10136,S,"5,0","0,3",1:11.19,twist_mux
5777,aleja,20,0,348884,19324,10216,S,"0,0","0,3",0:02.17,rosout
8182,aleja,20,0,357588,44880,16692,S,"0,0","0,6",0:02.26,roslaunch
8280,aleja,20,0,511136,46132,17448,S,"0,0","0,6",0:04.18,rostopic
5757,aleja,20,0,357720,44900,16824,S,"0,0","0,6",0:03.33,roscore
581,root,20,0,2548,708,636,S,"0,0","0,0",0:00.32,acpid
7927,aleja,20,0,357992,45016,16424,S,"0,0","0,6",0:02.55,roslaunch
8209,aleja,20,0,871268,42520,16760,S,"11,0","0,6",2:19.49,nodo_pid.py
7956,aleja,20,0,498908,22148,12672,S,"9,0","0,3",1:51.37,ekf_localizatio
5766,aleja,20,0,1280912,44432,16516,S,"6,0","0,6",1:50.04,rosmaster
7963,aleja,20,0,369172,24976,14984,S,"6,0","0,3",1:30.31,robot_state_pub
7967,aleja,20,0,422780,19248,10136,S,"5,0","0,3",1:11.24,twist_mux
